Mach Number,CD
0.1704333,0.4733023
0.1730457,0.4730363
0.1756497,0.4727744
0.1782451,0.4725167
0.180832,0.4722629
0.1834101,0.4720131
0.1859794,0.4717672
0.1885398,0.4715252
0.1910912,0.471287
0.1936334,0.4710526
0.1961665,0.4708218
0.1986902,0.4705947
0.2012046,0.4703712
0.2037094,0.4701512
0.2062047,0.4699347
0.2086903,0.4697216
0.2111661,0.4695118
0.213632,0.4693054
0.216088,0.4691022
0.218534,0.4689022
0.2209699,0.4687053
0.2233956,0.4685116
0.225811,0.4683209
0.228216,0.4681332
0.2306106,0.4679484
0.2329947,0.4677665
0.2353682,0.4675875
0.237731,0.4674112
0.2400831,0.4672378
0.2424244,0.467067
0.2447548,0.4668989
0.2470742,0.4667334
0.2493826,0.4665705
0.2516799,0.4664407
0.253966,0.466331
0.2562408,0.4662236
0.2585042,0.4661184
0.2607563,0.4660152
0.2629969,0.4659142
0.2652259,0.4658152
0.2674433,0.4657182
0.2696491,0.4656231
0.2718431,0.46553
0.2740255,0.4654388
0.2761959,0.4653495
0.2783546,0.4652619
0.2805012,0.4651761
0.2826359,0.4650921
0.2847586,0.4650098
0.2868692,0.4649291
0.2889677,0.4648501
0.291054,0.4647727
0.2931281,0.4646968
0.2951899,0.4646226
0.2972395,0.4645498
0.2992767,0.4644784
0.3013015,0.4644086
0.303314,0.4643402
0.305314,0.464273
0.3073016,0.4642074
0.3092766,0.4641429
0.311239,0.4640799
0.313189,0.464018
0.3151263,0.4639574
0.317051,0.4638981
0.318963,0.4638399
0.3208624,0.4637828
0.3227491,0.463727
0.324623,0.4636722
0.3264843,0.4636185
0.3283327,0.4635658
0.3301683,0.4635142
0.3319912,0.4634636
0.3338013,0.463414
0.3355985,0.4633653
0.3373829,0.4633175
0.3391544,0.4632707
0.3409131,0.4632248
0.3426589,0.4631797
0.3443919,0.4631355
0.3461119,0.4630921
0.3478191,0.4630495
0.3495134,0.4630077
0.3511947,0.4629667
0.3528632,0.4629264
0.3545188,0.4628868
0.3561614,0.4628479
0.3577912,0.4628097
0.3594081,0.4627721
0.3610121,0.4627352
0.3626032,0.4626989
0.3641814,0.4626632
0.3657468,0.4626281
0.3672993,0.4625936
0.3688389,0.4625596
0.3703658,0.4625262
0.3718798,0.4624932
0.373381,0.4624608
0.3748693,0.4624288
0.3763449,0.4623973
0.3778077,0.4623663
0.3792578,0.4623357
0.3806952,0.4623055
0.3821199,0.4622757
0.3835318,0.4622462
0.3849311,0.4622172
0.3863177,0.4621885
0.3876918,0.4621601
0.3890532,0.4621321
0.390402,0.4621044
0.3917384,0.462077
0.3930622,0.4620499
0.3943735,0.462023
0.3956724,0.4619964
0.3969588,0.46197
0.3982328,0.4619439
0.3994945,0.461918
0.4007439,0.4618922
0.4019809,0.4618667
0.4032057,0.4618414
0.4044183,0.4618162
0.4056187,0.4617912
